Feature,Coefficient
company_WROGN,348.2035921
company_U.S. POLO ASSN.,301.0468581
company_Raymond,210.8762942
company_Snitch,195.5509536
company_VAN HEUSEN,164.5485949
company_LOUIS PHILIPPE,144.2102434
company_THE BEAR HOUSE,137.9525565
company_Allen Cooper,133.4689035
company_HERE&NOW,129.2474731
company_PARK AVENUE,122.303218
company_bigbanana,116.7102913
company_CANTABIL,90.55543622
company_United Colors of Benetton,83.79976965
company_JOCKEY,73.46860453
company_The Indian Garage Co.,69.95932021
company_PUMA,66.74991905
company_BLUE SQUAD,65.28742257
company_Dennis Lingo,62.6552521
company_HIGHLANDER,61.53051877
company_BLIVE,46.2854823
company_ACCOX,40.38656562
company_rggarment,39.54739371
company_ALLWIN PAUL,38.81058135
company_AXOLOTL,35.72277623
company_Tom Mackler,35.45283684
company_UNNIBERRY,31.21107193
company_COLORTRAIT,30.16363822
company_MILDIN,30.00023473
company_UNIBERRY,29.95570024
company_Riva,27.37407533
company_Kryptic,27.0660929
company_FTX,26.92527682
company_STONEBERG,25.49827893
company_RIGO,25.32393599
company_Feel high,24.63816257
company_SM SHAYAM CREATION,22.99786556
company_VELLOSTA,19.21607436
company_ADIDAS,18.50440615
company_SHREEAARVI,17.8117916
company_BAB,17.75311026
company_VezVoR,17.67819583
company_Ambeycreations,17.46520271
company_PRABHU,15.92664895
company_HIGHLANCETSHIRT,15.34851449
company_METRONAUT PLUS,15.11641957
company_clothyy,14.40313979
company_P & V Creations,14.29212452
company_5TH ANFOLD,14.28621169
company_HouseOfCommon,13.85684128
company_GLOBAL NOMAD,13.70629068
company_R.Code by The Roadster Life Co.,13.50633621
company_DBAX,12.30627052
company_HamsaMART.com,12.27934855
company_SIXTEENLINES,12.23736031
company_TAZO,11.26445135
company_THE DRY STATE,11.2062438
company_Tkgfashion,10.93363826
company_Manlino,10.8691353
company_TB Blue,10.65365489
company_zenfit,10.37062321
company_Mundali,10.34506069
company_Stockton,9.951236985
company_DEEMOON,9.726456127
company_GARBLY,9.636517819
company_Ubi Sunt,9.524739032
company_AUSK,9.431961724
company_JACKBELLA,9.336350154
company_ERAGON FASHION,8.80140598
company_Jaswear,8.748609793
company_Lyphy,8.506952502
company_Allen Solly,7.487800662
company_Solbiza,7.436669612
company_CAZZBA,6.979793691
company_RYTONZ,6.859119117
company_Leotude,6.458996587
company_A A ENTERPRISES,6.415490047
company_Teenie,6.021126114
company_RODEIZ,5.812444101
company_Bhadawar creations,5.653653088
company_CHUGHZ,4.460184382
company_VIVESCO,4.037344234
company_TeeWink,3.990257405
company_Vooz,3.175129642
company_youth first,3.149033644
company_Jai Textiles,2.788164802
company_RAHUL LOOK,2.467344838
company_YouthPoi,2.119602082
company_jagrutifashion,1.8007464
company_Magneto,1.529940824
company_U TURN,1.220756115
company_JACKBUZZ,0.650751562
company_DIMMY,0.622472234
page,0.270160946
original_price,0.190997272
company_AIDAN PAUL,5.82E-10
company_Cool Plus,3.07E-10
company_indicare,1.40E-10
company_GLAUCUS,1.26E-10
company_Tees Collection,1.08E-10
company_AADAKS SPORTZZ,6.62E-11
company_RMLKN,6.88E-12
company_R ROCKIN TEES,6.57E-12
company_tallwalker,-7.33E-15
company_Southcity,-1.14E-13
company_Sedum Sestri,-2.82E-13
company_InkTees,-3.13E-13
company_Hems trends,-1.11E-12
company_KILLER,-2.22E-12
company_LGGARMENTS,-5.73E-12
company_PrintHolic,-9.58E-12
company_YELLOWDASH,-8.85E-11
company_javier,-1.39E-10
company_Axxitude,-5.92E-10
company_AVEJO,-1.13E-09
company_BlueFicus,-1.41E-09
company_INDICLUB,-0.220645052
company_VeBNoR,-0.908056069
company_Wrath,-3.521092259
company_VG BROTHER,-3.804523185
company_Jump Cuts,-4.623369374
company_ALMORA,-4.982639231
company_SRGI,-5.004271775
company_Try This,-5.832407415
company_NAUTICA,-6.995909211
company_SOLSTICE,-8.905682299
company_sti,-9.126017509
