name,company,price,original_price,discount,offers,url,page,discount_pct,savings,price_band,high_discount
Men Solid Zip Neck Cotton Blend Black T-Shirt,KAJARU,298,999,70,Hot Deal,https://www.flipkart.com/kajaru-solid-men-zip-neck-black-t-shirt/p/itmccf4be686542f?pid=TSHHHCXFP8MMYWBN&lid=LSTTSHHHCXFP8MMYWBNTIE2MI&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_1&otracker=browse&fm=organic&iid=en_Ny5kUqc3ua8-D6_74gurkSkimP1QiIUd2Gk4axNx6LOYxN4KhW2s_ztZopFNAzKn1EmAMBOF3LIEjWUTAysR6g%3D%3D&ppt=None&ppn=None&ssid=dqqnzr5ohs0000001769928990696,1,70.17,701,Budget,1
"Men Printed Polo Neck Cotton Blend Black, Grey T-Shirt",TRIPR,338,999,66,"Buy 2 items, save extra 5%",https://www.flipkart.com/tripr-printed-men-polo-neck-black-grey-t-shirt/p/itm71c22e6bd076e?pid=TSHHGPR92GHXBGHP&lid=LSTTSHHGPR92GHXBGHP0ZH8LA&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_2&otracker=browse&fm=organic&iid=en_Ny5kUqc3ua8-D6_74gurkSkimP1QiIUd2Gk4axNx6LOKYIJqvB3VejUykCK2sHSUjQ6A-HMm7MAxoxs0_mz4q4QEIsITtCzc4bHaOMTqL08%3D&ppt=None&ppn=None&ssid=dqqnzr5ohs0000001769928990696,1,66.17,661,Budget,1
Pack of 4 Men Solid Round Neck Cotton Blend Multicolor ...,TRIPR,459,1999,77,"Buy 2 items, save extra 5%",https://www.flipkart.com/tripr-solid-men-round-neck-multicolor-t-shirt/p/itmbdcd52a2172b8?pid=TSHH7USMSJHNXAWQ&lid=LSTTSHH7USMSJHNXAWQVAAK7N&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_3&otracker=browse&fm=organic&iid=en_Ny5kUqc3ua8-D6_74gurkSkimP1QiIUd2Gk4axNx6LPWe3iqQK4Gr6lpM0_8Zlsnt576SpW4bn0UElIK5yDtIkKsf8s6I2Oz2HOgbXTo_9U%3D&ppt=None&ppn=None&ssid=dqqnzr5ohs0000001769928990696,1,77.04,1540,Budget,1
"Men Striped Zip Neck Cotton Blend Black, White T-Shirt",Try This,306,999,69,Only few left,https://www.flipkart.com/try-striped-men-zip-neck-black-white-t-shirt/p/itme42865024eb74?pid=TSHHFE52RM8EZPMD&lid=LSTTSHHFE52RM8EZPMD7PVVO6&marketplace=FLIPKART&store=clo%2Fash&spotlightTagId=default_FkPickId_clo%2Fash&srno=b_1_4&otracker=browse&fm=organic&iid=fa2ec572-4515-43fc-bcbc-ca2f0de3f4c5.TSHHFE52RM8EZPMD.SEARCH&ppt=None&ppn=None&ssid=dqqnzr5ohs0000001769928990696,1,69.37,693,Budget,1
Men Solid Henley Neck Cotton Blend Black T-Shirt,TRIPR,192,1999,90,Hot Deal,https://www.flipkart.com/tripr-solid-men-henley-neck-black-t-shirt/p/itm6fc7432990bfc?pid=TSHH6DGJHQJ8CXFF&lid=LSTTSHH6DGJHQJ8CXFFWRVWKD&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_5&otracker=browse&fm=organic&iid=en_Ny5kUqc3ua8-D6_74gurkSkimP1QiIUd2Gk4axNx6LPmpnHcxi60B_ZRN9_eaCY743A0MlMcDFVdyG_2b7mqNlmOBtEFy0FmBP0CX6jfuRQ%3D&ppt=None&ppn=None&ssid=dqqnzr5ohs0000001769928990696,1,90.4,1807,Budget,1
"Men Checkered Zip Neck Cotton Blend Multicolor, Green T...",Try This,285,999,71,"Buy 2 items, save extra 5%",https://www.flipkart.com/try-checkered-men-zip-neck-multicolor-green-t-shirt/p/itma48811373c39f?pid=TSHHDVDXVHBADVYM&lid=LSTTSHHDVDXVHBADVYMCFRZ4E&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_6&otracker=browse&fm=organic&iid=en_Ny5kUqc3ua8-D6_74gurkSkimP1QiIUd2Gk4axNx6LNOOAKNdEkEl2jfvvF9ujArUQVNn6UcwKwQ2__ANjxsxvUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=dqqnzr5ohs0000001769928990696,1,71.47,714,Budget,1
Men Regular Fit Checkered Spread Collar Casual Shirt,Surhi,210,1999,89,Hot Deal,https://www.flipkart.com/surhi-men-checkered-casual-multicolor-shirt/p/itm19fb8bf15b04c?pid=SHTHYP5ZHCHZE5TM&lid=LSTSHTHYP5ZHCHZE5TMRAS7KR&marketplace=FLIPKART&store=clo%2Fash&spotlightTagId=default_BestsellerId_clo%2Fash&srno=b_1_7&otracker=browse&fm=organic&iid=fa2ec572-4515-43fc-bcbc-ca2f0de3f4c5.SHTHYP5ZHCHZE5TM.SEARCH&ppt=None&ppn=None&ssid=dqqnzr5ohs0000001769928990696,1,89.49,1789,Budget,1
Men Solid Round Neck Polyester Pink T-Shirt,VeBNoR,237,999,76,Hot Deal,https://www.flipkart.com/vebnor-solid-men-round-neck-pink-t-shirt/p/itm23ecb29dccd75?pid=TSHH84X4CUREYUZE&lid=LSTTSHH84X4CUREYUZEN5O0OI&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_8&otracker=browse&fm=organic&iid=fa2ec572-4515-43fc-bcbc-ca2f0de3f4c5.TSHH84X4CUREYUZE.SEARCH&ppt=None&ppn=None&ssid=dqqnzr5ohs0000001769928990696,1,76.28,762,Budget,1
Men Striped Polo Neck Polycotton Green T-Shirt,N AND J,266,799,66,Hot Deal,https://www.flipkart.com/n-j-striped-men-polo-neck-green-t-shirt/p/itm818f76e4f69c3?pid=TSHH78K477MYZFHF&lid=LSTTSHH78K477MYZFHFBLO2BT&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_9&otracker=browse&fm=organic&iid=en_Ny5kUqc3ua8-D6_74gurkSkimP1QiIUd2Gk4axNx6LNus14dvhfXWo9Ogl27TKz76f22JuEhogJmwZzsv6gY4vUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=dqqnzr5ohs0000001769928990696,1,66.71,533,Budget,1
Men Regular Fit Self Design Spread Collar Casual Shirt,JACKBELLA,260,1499,82,Hot Deal,https://www.flipkart.com/jackbella-men-self-design-casual-purple-shirt/p/itm6627df9ec49c8?pid=SHTHBZHZVGAHGGXY&lid=LSTSHTHBZHZVGAHGGXY9HCWVS&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_10&otracker=browse&fm=organic&iid=fa2ec572-4515-43fc-bcbc-ca2f0de3f4c5.SHTHBZHZVGAHGGXY.SEARCH&ppt=None&ppn=None&ssid=dqqnzr5ohs0000001769928990696,1,82.66,1239,Budget,1
