,0
0,298
1,338
2,459
3,306
4,192
5,285
6,210
7,237
8,266
9,260
10,270
11,594
12,350
13,393
14,256
15,241
16,392
17,262
18,416
19,318
20,226
21,252
22,220
23,446
24,998
25,322
26,243
27,236
28,163
29,240
30,475
31,276
32,752
33,148
34,394
35,610
36,267
37,234
38,431
39,313
40,219
41,328
42,235
43,263
44,337
45,385
46,421
47,336
48,665
49,319
50,229
51,374
52,246
53,214
54,211
55,289
56,212
57,255
58,265
59,420
60,282
61,367
62,250
63,218
64,305
65,205
66,172
67,360
68,249
69,290
70,283
71,629
72,295
73,291
74,280
75,442
76,457
77,277
78,507
79,608
80,354
81,300
82,499
83,315
84,434
85,399
86,273
87,479
88,253
89,368
90,180
91,232
92,228
93,120
94,248
95,330
96,329
97,391
98,452
99,261
100,317
101,759
102,224
103,202
104,242
105,178
106,437
107,884
108,175
109,279
110,372
111,388
112,436
113,308
114,207
115,450
116,410
117,358
118,221
119,223
120,183
121,389
122,222
123,258
124,559
125,435
126,662
127,440
128,443
129,879
130,370
131,233
132,427
133,209
134,257
135,199
136,386
137,160
138,339
139,390
140,301
141,362
142,225
143,325
144,287
145,402
146,883
147,340
148,408
149,185
150,478
151,213
152,288
153,381
154,158
155,989
156,406
157,519
158,361
159,227
160,387
161,216
162,404
163,278
164,269
165,1139
166,558
167,162
168,649
169,344
170,1310
171,275
172,230
173,271
174,489
175,239
176,334
177,418
178,153
179,310
180,206
181,648
182,462
183,1019
184,238
185,383
186,147
187,247
188,382
189,251
190,335
191,343
192,1199
193,565
194,215
195,729
196,425
197,244
198,299
199,466
200,380
201,142
202,104
203,135
204,231
205,779
206,272
207,495
208,349
209,268
210,674
211,327
212,106
213,972
214,415
215,208
216,604
217,1398
218,550
219,438
220,353
221,345
222,723
223,323
224,138
225,146
226,309
227,155
228,591
229,526
230,718
231,520
232,398
